Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2014-09-12,48.99,49.5,48.54,48.87,1036800.0,0.0,1.0,47.608252931587,48.103868546919,47.170945035706,47.491637492685,1036800.0
2014-09-15,48.76,48.805,47.9901,48.31,1314000.0,0.0,1.0,47.384740007026,47.428470796614,46.636554786939,46.947432111144,1314000.0
2014-09-16,48.32,48.32,47.72,47.92,1428400.0,0.0,1.0,46.957150064386,46.957150064386,46.374072869878,46.568431934714,1428400.0
2014-09-17,48.1,48.7,48.1,48.33,764700.0,0.0,1.0,46.743355093067,47.326432287575,46.743355093067,46.966868017628,764700.0
2014-09-18,48.34,48.704,48.19,48.6,918900.0,0.0,1.0,46.97658597087,47.330319468871,46.830816672243,47.229252755157,918900.0
2014-09-19,48.72,48.96,48.08,48.23,1134100.0,0.0,1.0,47.345868194058,47.579099071862,46.723919186583,46.86968848521,1134100.0
2014-09-22,48.08,48.13,47.59,47.77,775307.0,0.0,1.0,46.723919186583,46.772508952792,46.247739477735,46.422662636087,775307.0
2014-09-23,48.06,48.18,47.59,47.59,732044.0,0.0,1.0,46.704483280099,46.821098719001,46.247739477735,46.247739477735,732044.0
2014-09-24,47.67,48.22,47.62,48.16,1002535.0,0.0,1.0,46.325483103669,46.859970531968,46.27689333746,46.801662812517,1002535.0
2014-09-25,48.45,48.62,48.08,48.14,1271329.0,0.0,1.0,47.08348345653,47.24868866164,46.723919186583,46.782226906034,1271329.0
2014-09-26,48.65,50.0,48.5,49.51,1922946.0,0.0,1.0,47.277842521366,48.589766209009,47.132073222739,48.113586500161,1922946.0
2014-09-29,49.14,49.65,49.02,49.58,1009469.0,0.0,1.0,47.754022230214,48.249637845546,47.637406791312,48.181612172853,1009469.0
2014-09-30,49.6,49.79,49.36,49.38,852957.0,0.0,1.0,48.201048079337,48.385689190931,47.967817201534,47.987253108017,852957.0
2014-10-01,49.73,49.81,49.0,49.25,1177256.0,0.0,1.0,48.32738147148,48.405125097415,47.617970884829,47.860919715874,1177256.0
2014-10-02,49.14,49.36,48.392,49.21,1055610.0,0.0,1.0,47.754022230214,47.967817201534,47.027119327727,47.822047902907,1055610.0
2014-10-03,49.41,49.97,49.35,49.66,900896.0,0.0,1.0,48.016406967743,48.560612349284,47.958099248292,48.259355798788,900896.0
2014-10-06,49.75,49.88,49.22,49.38,631217.0,0.0,1.0,48.346817377964,48.473150770107,47.831765856148,47.987253108017,631217.0
2014-10-07,49.24,49.47,48.49,48.5,687782.0,0.0,1.0,47.851201762632,48.074714687193,47.122355269497,47.132073222739,687782.0
2014-10-08,48.5,49.24,48.25,49.18,877024.0,0.0,1.0,47.132073222739,47.851201762632,46.889124391694,47.792894043181,877024.0
2014-10-09,49.31,49.31,48.17,48.34,1225377.0,0.0,1.0,47.919227435325,47.919227435325,46.811380765759,46.97658597087,1225377.0
2014-10-10,48.29,48.58,47.5,47.52,981592.0,0.0,1.0,46.927996204661,47.209816848673,46.160277898558,46.179713805042,981592.0
2014-10-13,47.67,47.87,47.08,47.14,1496323.0,0.0,1.0,46.325483103669,46.519842168505,45.752123862403,45.810431581854,1496323.0
2014-10-14,47.16,47.6,46.77,47.08,1273626.0,0.0,1.0,45.829867488337,46.257457430977,45.450867311907,45.752123862403,1273626.0
2014-10-15,46.68,47.1,45.73,46.36,2274421.0,0.0,1.0,45.363405732731,45.771559768886,44.44020017476,45.052431228993,2274421.0
